P0,P1,P2,full_visibility,obscurity_sky,obscurity_sun,proximity_edge,proximity_noise,visibility_sky,visibility_sun,proximity_north1,proximity_south1,proximity_west1,proximity_east1
-86.2156906128,9.0,52.314956665,0.0606389008462,0.28702288866,0.102773152292,0.999000012875,0.681213378906,0.247121065855,0.07961910218,0.615075469017,0.383257567883,0.994372010231,0.00484538590536
-83.7886428833,6.0,54.0783081055,0.208341836929,0.675134003162,0.252317368984,0.999000012875,0.662299931049,0.676415801048,0.316900253296,0.602234601974,0.394006252289,0.97902238369,0.0174224898219
-81.3615875244,6.0,55.8416671753,0.289251744747,0.71385717392,0.381610840559,0.999000012875,0.649192929268,0.730066418648,0.327957034111,0.590414643288,0.405737608671,0.964252531528,0.032135669142
-83.7886428833,9.0,54.0783081055,0.255615532398,0.786022901535,0.28918415308,0.999000012875,0.668093025684,0.603025496006,0.290336191654,0.603267610073,0.394977331161,0.979608058929,0.0194770302624
-81.3615875244,9.0,55.8416671753,0.342935323715,0.838827133179,0.412246614695,0.999000012875,0.654973804951,0.654690086842,0.310378491879,0.591460227966,0.40669760108,0.964844286442,0.0341184660792
-78.9345397949,6.0,57.6050224304,0.29343611002,0.693615555763,0.401342362165,0.999000012875,0.636086642742,0.704484760761,0.285450637341,0.578594982624,0.417468965054,0.949482798576,0.0468527972698
-76.507484436,6.0,59.3683776855,0.274070948362,0.623209893703,0.406534850597,0.999000012875,0.622980773449,0.610040724277,0.237752094865,0.566775619984,0.42920050025,0.93471300602,0.061573497951
-78.9345397949,9.0,57.6050224304,0.360783010721,0.823865950108,0.45170968771,0.999000012875,0.641856014729,0.637756288052,0.276005625725,0.579653501511,0.418418288231,0.950080692768,0.048768684268
-76.507484436,9.0,59.3683776855,0.335660278797,0.744659602642,0.452228873968,0.999000012875,0.628739535809,0.550199270248,0.229834139347,0.567847311497,0.430139392614,0.935317337513,0.0634268000722
-74.0804367065,6.0,61.1317329407,0.177011311054,0.363589078188,0.37901455164,0.999000012875,0.60987585783,0.444308757782,0.140886545181,0.554956436157,0.440932273865,0.919943571091,0.0762974098325
-71.6533813477,6.0,62.8950881958,0.0491391159594,0.132130503654,0.16923725605,0.999000012875,0.596771538258,0.277212917805,0.0805046930909,0.543137609959,0.452664226294,0.905174016953,0.091024287045
-74.0804367065,9.0,61.1317329407,0.250199794769,0.5,0.448074907064,0.999000012875,0.615624547005,0.39286839962,0.132107436657,0.556041717529,0.44186091423,0.920554459095,0.0780920609832
-71.6533813477,9.0,62.8950881958,0.129479750991,0.277342140675,0.319819957018,0.999000012875,0.602510929108,0.232133686543,0.0723327621818,0.544236838818,0.453582823277,0.905791640282,0.0927638635039
-69.2263336182,6.0,64.6584472656,0.017018314451,0.0722857192159,0.0653870925307,0.999000012875,0.583667814732,0.234877482057,0.0711405798793,0.531318902969,0.464396506548,0.890404701233,0.10575376451
-66.7992858887,6.0,66.4217987061,0.0134970322251,0.0617248676717,0.0539635717869,0.999000012875,0.570564866066,0.220762595534,0.0697421729565,0.519500672817,0.476128757,0.875635504723,0.120485655963
-69.2263336182,9.0,64.6584472656,0.080185316503,0.209576740861,0.213892817497,0.999000012875,0.589398920536,0.193120107055,0.0636382624507,0.532432496548,0.465305268764,0.891029119492,0.107441522181
-66.7992858887,9.0,66.4217987061,0.0639494210482,0.190215170383,0.170275747776,0.999000012875,0.57628852129,0.178603038192,0.0619301907718,0.520628869534,0.477027952671,0.876266896725,0.122124627233
-64.3722305298,6.0,68.1851577759,0.0132451793179,0.0617248676717,0.0524058267474,0.999000012875,0.557462751865,0.210157379508,0.0701817646623,0.507682740688,0.487861305475,0.860866367817,0.135219827294
-61.9451828003,6.0,69.9485092163,0.0125335920602,0.0590846501291,0.0503288172185,0.999000012875,0.54436147213,0.209632873535,0.0683622434735,0.495865046978,0.49959397316,0.846097528934,0.149956002831
-64.3722305298,9.0,68.1851577759,0.054134581238,0.179654315114,0.141716971993,0.999000012875,0.563179671764,0.171741485596,0.0615920163691,0.50882589817,0.488750964403,0.861504971981,0.136812731624
-61.9451828003,9.0,69.9485092163,0.0501984320581,0.177894189954,0.128216445446,0.999000012875,0.550072729588,0.1707688272,0.0599845051765,0.49702373147,0.500474572182,0.846743404865,0.151505336165
-59.5181312561,6.0,71.7118682861,0.0117103587836,0.057324513793,0.0466940663755,0.999000012875,0.531260967255,0.209108695388,0.0660083368421,0.484047800303,0.511326730251,0.831328570843,0.16469411552
-57.0910797119,6.0,73.4752197266,0.0111781805754,0.056444440037,0.0440978109837,0.999000012875,0.518161535263,0.205454796553,0.0666449964046,0.47223085165,0.523059606552,0.816559970379,0.179433897138
-59.5181312561,9.0,71.7118682861,0.0477321259677,0.171733692288,0.123543187976,0.999000012875,0.53696757555,0.170283302665,0.0580109171569,0.485222250223,0.512198269367,0.831981956959,0.166202172637
-57.0910797119,9.0,73.4752197266,0.0476639829576,0.17349383235,0.121985442936,0.999000012875,0.523864388466,0.169798195362,0.0584679022431,0.473421722651,0.523922324181,0.817220985889,0.180902823806
-86.2156906128,12.0,52.314956665,0.120256356895,0.398791879416,0.197276800871,0.999000012875,0.688883364201,0.202860623598,0.0690862387419,0.616502761841,0.384631037712,0.995182991028,0.0078103011474
-86.2156906128,15.0,52.314956665,0.195167854428,0.510560870171,0.306838691235,0.999000012875,0.698107719421,0.153111189604,0.05781570822,0.618334710598,0.386394351721,0.996225059032,0.0115900300443
-83.7886428833,12.0,54.0783081055,0.300832927227,0.853788375854,0.335397511721,0.999000012875,0.675751030445,0.540098547935,0.268635302782,0.604712069035,0.396335184574,0.980427384377,0.0223360769451
-81.3615875244,12.0,55.8416671753,0.38086104393,0.903072297573,0.443920910358,0.999000012875,0.662620842457,0.587244808674,0.291264712811,0.592922270298,0.408040225506,0.965672194958,0.036878798157
-83.7886428833,15.0,54.0783081055,0.345258057117,0.907472729683,0.383687794209,0.999000012875,0.684967458248,0.446678221226,0.235153496265,0.60656607151,0.398078471422,0.981480121613,0.0259829126298
-81.3615875244,15.0,55.8416671753,0.41487249732,0.960276901722,0.470921933651,0.999000012875,0.671830177307,0.471689403057,0.249273896217,0.59479868412,0.409763902426,0.966736078262,0.0404016077518
-78.9345397949,12.0,57.6050224304,0.419177114964,0.891631305218,0.516096711159,0.999000012875,0.64949285984,0.559512019157,0.268357098103,0.581133544445,0.419745981693,0.950917422771,0.0514368005097
